Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",5,4.17,Celadon Books,Hardcover,325,2019,2019,2022/01/15,2022/01/04,2022,2022 (#2),read,,,,1,0
58330567,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,"Brown, Brené",Gavin Aung Than,"=""0399592555""","=""9780399592553""",3,4.36,Random House,Hardcover,301,2021,2021,2022/01/16,2022/01/16,2022,2022 (#1),read,,,,1,0
57773248,Notes on an Execution,Danya Kukafka,"Kukafka, Danya",,"=""0063052733""","=""9780063052734""",0,4.13,William Morrow,Hardcover,306,2022,2022,,2022/01/09,to-read,to-read (#3),to-read,,,,0,0
57846320,The School for Good Mothers,Jessamine Chan,"Chan, Jessamine",,"=""""","=""""",0,3.56,Simon & Schuster,Hardcover,336,2022,2022,,2022/01/06,to-read,to-read (#2),to-read,,,,0,0
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Carlos Marrodán Casas, Kjell Risvik, Edith Grossman","=""140003468X""","=""9781400034680""",0,3.93,Vintage International,Paperback,348,2003,1985,,2022/01/06,to-read,to-read (#1),to-read,,,,0,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, James Noel Smith","=""0062315005""","=""9780062315007""",0,3.90,HarperOne,Paperback,175,2014,1988,,2022/01/01,,,read,,,,1,0
24178,Charlotte's Web,E.B. White,"White, E.B.","Garth Williams, Rosemary Wells","=""0064410935""","=""9780064410939""",0,4.19,HarperCollinsPublishers,Paperback,184,2001,1952,,2022/01/01,,,read,,,,1,0
2932,"Robinson Crusoe (Robinson Crusoe, #1)",Daniel Defoe,"Defoe, Daniel","Ute Thonissen, Virginia Woolf, Wolfgang Knape, Franciszek Mirandola, Samuli Suomalainen, Fatoş Kaya","=""""","=""""",0,3.68,Modern Library,Hardcover,320,2001,1719,,2022/01/01,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",0,4.13,Ember,Paperback,208,2006,1993,,2022/01/01,,,read,,,,1,0
236093,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"Baum, L. Frank","Жечка Георгиева, У.У. Денслоу, W.W. Denslow","=""0140621679""","=""9780140621679""",0,3.99,Penguin,Paperback,154,1995,1900,,2022/01/01,,,read,,,,1,0
17250,The Crucible,Arthur  Miller,"Miller, Arthur",Christopher Bigsby,"=""0142437336""","=""9780142437339""",0,3.60,Penguin Books,Paperback,143,2003,1953,,2022/01/01,,,read,,,,1,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""""","=""""",0,4.12,Puffin Books (US/CAN),Mass Market Paperback,192,1997,1967,,2022/01/01,,,read,,,,1,0
92303,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar","Yvonne Skargon, Stanley Appelbaum","=""158049580X""","=""9781580495806""",0,4.18,Prestwick House,Paperback,76,2005,1895,,2022/01/01,,,read,,,,1,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen","=""""","=""""",0,4.23,HarperCollins Publishers,Paperback,206,2005,1950,,2022/01/01,,,read,,,,1,0
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","John Tenniel, Martin Gardner","=""0451527747""","=""9780451527745""",0,4.07,Penguin Group (USA),Paperback,239,2000,1871,,2022/01/01,,,read,,,,1,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Mark Hallaq, John Seelye, Guy Cardwell, Amanda Lee","=""""","=""9780143039563""",0,3.92,Penguin Classics,Paperback,244,2006,1876,,2022/01/01,,,read,,,,1,0
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,"=""0517189607""","=""9780517189603""",0,4.15,Children's Classics,Hardcover,331,1998,1911,,2022/01/01,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Andrew Lang, Samuel Butler, George Chapman, Bernard Knox, Philip Stanhope Worsley, William Walter Merry, Ιάκωβος Πολυλάς, Otmar Vaňorný","=""0143039954""","=""9780143039952""",0,3.79,Penguin Classics ,Paperback,541,2006,-700,,2022/01/01,,,read,,,,1,0
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, William Little Hughes, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson","=""0142437174""","=""9780142437179""",0,3.83,Penguin Classics,Paperback,327,2002,1884,,2022/01/01,,,read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.97,Simon & Schuster,Kindle Edition,194,2011,1953,,2022/01/01,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",0,3.88,Penguin Books,Paperback,103,2002,1937,,2022/01/01,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2022/01/01,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.69,Penguin Books ,Paperback,182,1999,1954,,2022/01/01,,,read,,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""""","=""""",0,3.84,Penguin Classics,Paperback,260,2018,1818,,2022/01/01,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2022/01/01,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",0,4.27,Harper Perennial Modern Classics ,Paperback,336,2006,1960,,2022/01/01,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Paperback,180,2004,1925,,2022/01/01,,,read,,,,1,0
